metric	count
WGS_center_absent	13290721
WGS_center_overlap	10521
bad_101nt_context_or_center	25
broad_candidate_ambiguous_center	7662
broad_candidate_center_absent	13283059
context_qc_pass	13301242
low_complexity_any_eligible_negative_definition	2914
low_complexity_near_zero_excluded	50
low_complexity_qc_pass	13252739
low_complexity_relaxed_excluded	777
low_complexity_strict_excluded	2087
negative_near_zero_only	144294
negative_relaxed_only	594267
negative_strict	2821734
not_transcript_oriented_exonic_C	12705043
reported_depth_prefilter_pass	26006310
transcript_oriented_exonic_C	13301267
