model,training_strategy,pooling,sampling_ratio,negative_strategy,loss,learning_rate,trainable_parameters,total_parameters,seed,dev_PR_AUC,dev_average_precision,calibration_PR_AUC,test_PR_AUC,test_precision,test_recall,test_F1,FP_per_million,training_time,peak_memory,experiment_id,stage,status,config_json
LAMAR,frozen,mean,10,random,bce,0.0001,2305,85854098,42,0.2581055933329502,0.2616170450522787,,,,,,,457.2624008655548,1172078080.0,s1_frozen_mean,stage1_frozen,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_frozen_mean"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""loss"": ""bce"", ""mode"": ""frozen"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""mean"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_frozen"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,frozen,center,10,random,bce,0.0001,2305,85854098,42,0.684960898535729,0.6859885628873351,,,,,,,570.7333073616028,1172078080.0,s1_frozen_center,stage1_frozen,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_frozen_center"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""loss"": ""bce"", ""mode"": ""frozen"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_frozen"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,frozen,attention,10,random,bce,0.0001,3073,85854866,42,0.2809720994887936,0.2861644205835296,,,,,,,519.0292475223541,1172087296.0,s1_frozen_attention,stage1_frozen,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_frozen_attention"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""loss"": ""bce"", ""mode"": ""frozen"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""attention"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_frozen"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,partial,center,10,random,bce,0.0001,7091713,85854098,42,0.7454028599160379,0.7463897629254214,,,,,,,261.39082503318787,1228482048.0,s1_partial_u1,stage1_structure,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_partial_u1"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""loss"": ""bce"", ""mode"": ""partial"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_structure"", ""unfreeze"": 1, ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,partial,center,10,random,bce,0.0001,14179585,85854098,42,0.7749070068096201,0.7759295749224606,,,,,,,308.17607259750366,1285668352.0,s1_partial_u2,stage1_structure,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_partial_u2"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""loss"": ""bce"", ""mode"": ""partial"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_structure"", ""unfreeze"": 2, ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,partial,center,10,random,bce,0.0001,28355329,85854098,42,0.753836697216051,0.7551498480899754,,,,,,,395.4697723388672,1400106496.0,s1_partial_u4,stage1_structure,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_partial_u4"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""loss"": ""bce"", ""mode"": ""partial"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_structure"", ""unfreeze"": 4, ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8065167887802922,0.8070585171766302,,,,,,,680.7259287834167,1438978560.0,s1_lora_qv,stage1_structure,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_lora_qv"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qv"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_structure"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,592129,86443922,42,0.8167900126502327,0.817341411529998,,,,,,,771.8897144794464,1540013568.0,s1_lora_qkvo,stage1_structure,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_lora_qkvo"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_structure"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,1329409,87181202,42,0.8095860567355774,0.8101226910308404,,,,,,,858.9038462638855,1775653376.0,s1_lora_attention_mlp,stage1_structure,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_lora_attention_mlp"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""attention_mlp"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_structure"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,full,center,10,random,bce,0.0001,85854098,85854098,42,0.7986052226473053,0.7990661424959914,,,,,,,2670.512831926346,2069124096.0,s1_full,stage1_structure,SUCCESS,"{""accumulation_steps"": 8, ""backbone_lr"": 1e-05, ""batch_size"": 4, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s1_full"", ""fp16"": true, ""gradient_checkpointing"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""loss"": ""bce"", ""mode"": ""full"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage1_structure"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
