kind,pr_auc,average_precision,roc_auc,precision,recall,f1,mcc,brier,ece,threshold,tn,fp,fn,tp,fp_per_million,target_fp_per_million,allowed_fp
fixed_threshold,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.03233574131406949,0.5696969696969697,0.061197916666666664,0.13277226153821048,0.0009184683267433348,0.00013210473442293395,0.01,162187,2813,71,94,17048.484848484848,,
fixed_threshold,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.13043478260869565,0.36363636363636365,0.192,0.21652794402812223,0.0009184683267433348,0.00013210473442293395,0.05,164600,400,105,60,2424.242424242424,,
fixed_threshold,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.21875,0.2545454545454545,0.23529411764705882,0.23514644207553212,0.0009184683267433348,0.00013210473442293395,0.1,164850,150,123,42,909.0909090909091,,
fixed_threshold,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.38,0.11515151515151516,0.17674418604651163,0.2087690764190741,0.0009184683267433348,0.00013210473442293395,0.2,164969,31,146,19,187.87878787878788,,
fixed_threshold,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.0,0.0,0.0,0.0,0.0009184683267433348,0.00013210473442293395,0.5,165000,0,165,0,0.0,,
fp_workpoint,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.0,0.0,0.0,-7.781123419476706e-05,0.0009184683267433348,0.00013210473442293395,0.46436293729738737,164999,1,165,0,6.0606060606060606,10.0,1.0
fp_workpoint,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.5294117647058824,0.05454545454545454,0.0989010989010989,0.16970521107231076,0.0009184683267433348,0.00013210473442293395,0.32725200610696015,164992,8,156,9,48.484848484848484,50.0,8.0
fp_workpoint,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.5,0.09696969696969697,0.16243654822335024,0.21988395822499038,0.0009184683267433348,0.00013210473442293395,0.24298369973628076,164984,16,149,16,96.96969696969697,100.0,16.0
fp_workpoint,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.2743362831858407,0.18787878787878787,0.22302158273381295,0.2263923645596673,0.0009184683267433348,0.00013210473442293395,0.13950360730557138,164918,82,134,31,496.969696969697,500.0,82.0
fp_workpoint,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.21052631578947367,0.26666666666666666,0.23529411764705882,0.2360825075534631,0.0009184683267433348,0.00013210473442293395,0.09389750032350166,164835,165,121,44,1000.0,1000.0,165.0
