model,method,mean_predicted_probability,observed_frequency
hash_random,platt,0.0007134583329616606,0.001888985759953502
hash_random,platt,0.0007550841640390802,0.002906131938390003
hash_random,platt,0.0009689391348563114,0.0008718395815170009
hash_random,platt,0.0010101575153871614,0.0010172200828307781
hash_random,platt,0.001017993120020402,0.0011624527753560012
hash_random,platt,0.0010407288352250554,0.0007991862830572508
hash_random,platt,0.001052992730197898,0.0011625372375208894
hash_random,platt,0.0010678975101786733,0.0005812263876780006
hash_random,platt,0.0010920705068931415,0.0006538796861377507
hash_random,platt,0.0011441639738149544,0.0005086100414153891
hash_random,platt,0.001187734401560424,0.00021795989537925023
hash_random,platt,0.0012260290758228033,0.00021795989537925023
lamar_zero_shot_center,platt,7.203247482173512e-06,0.0
lamar_zero_shot_center,platt,1.992093555345652e-05,7.265329845975008e-05
lamar_zero_shot_center,platt,3.802636654343212e-05,0.0
lamar_zero_shot_center,platt,6.361158297723766e-05,0.00014531715469011118
lamar_zero_shot_center,platt,0.00010011573474599268,7.265329845975008e-05
lamar_zero_shot_center,platt,0.00015453603396792335,0.00021795989537925023
lamar_zero_shot_center,platt,0.00023555704129348153,0.00029063430938022235
lamar_zero_shot_center,platt,0.0003607160886341866,0.0002906131938390003
lamar_zero_shot_center,platt,0.0005702383540320449,0.001017146178436501
lamar_zero_shot_center,platt,0.0009557437028253142,0.000871902928140667
lamar_zero_shot_center,platt,0.0018709371950837049,0.0013077593722755014
lamar_zero_shot_center,platt,0.008329857185731798,0.007701249636733507
lamar_zero_shot_cls,platt,0.0002021675108744272,0.0003632664922987504
lamar_zero_shot_cls,platt,0.00029506347931350466,0.0002906131938390003
lamar_zero_shot_cls,platt,0.00036391009952388626,0.0003632664922987504
lamar_zero_shot_cls,platt,0.0004349492186015783,0.00014531715469011118
lamar_zero_shot_cls,platt,0.00052141535942263,0.0005085730892182505
lamar_zero_shot_cls,platt,0.0006388501336200596,0.0006538796861377507
lamar_zero_shot_cls,platt,0.0008027301955001736,0.0009445615054857226
lamar_zero_shot_cls,platt,0.0010241821587895082,0.0011624527753560012
lamar_zero_shot_cls,platt,0.0013071070502278374,0.0015257192676547515
lamar_zero_shot_cls,platt,0.0016866571660647397,0.0010172200828307781
lamar_zero_shot_cls,platt,0.0022334861718438692,0.0023249055507120024
lamar_zero_shot_cls,platt,0.0033641073395984343,0.002688172043010753
lamar_zero_shot_masked_mean,platt,0.00014572373155871996,0.00043591979075850045
lamar_zero_shot_masked_mean,platt,0.0002461026603360864,7.265329845975008e-05
lamar_zero_shot_masked_mean,platt,0.00032573114652393285,0.00021795989537925023
lamar_zero_shot_masked_mean,platt,0.0004020833679706849,0.0005812686187604447
lamar_zero_shot_masked_mean,platt,0.0004828750361236374,0.0002906131938390003
lamar_zero_shot_masked_mean,platt,0.0005809656931373799,0.0007265329845975008
lamar_zero_shot_masked_mean,platt,0.0007093863295314397,0.0009445615054857226
lamar_zero_shot_masked_mean,platt,0.0008863875017986346,0.0011624527753560012
lamar_zero_shot_masked_mean,platt,0.001140260497646661,0.001089799476896251
lamar_zero_shot_masked_mean,platt,0.001523658806386065,0.0011625372375208894
lamar_zero_shot_masked_mean,platt,0.0021547929392902424,0.002034292356873002
lamar_zero_shot_masked_mean,platt,0.0040710691373794464,0.003269398430688753
lamar_zero_shot_mean,platt,0.000145723732761493,0.00043591979075850045
lamar_zero_shot_mean,platt,0.00024610266123117674,7.265329845975008e-05
lamar_zero_shot_mean,platt,0.0003257311476770207,0.00021795989537925023
lamar_zero_shot_mean,platt,0.00040208337688737896,0.0005812686187604447
lamar_zero_shot_mean,platt,0.0004828750420862839,0.0002906131938390003
lamar_zero_shot_mean,platt,0.0005809656897922627,0.0007265329845975008
lamar_zero_shot_mean,platt,0.0007093863364833128,0.0009445615054857226
lamar_zero_shot_mean,platt,0.0008863875111807086,0.0011624527753560012
lamar_zero_shot_mean,platt,0.0011402725346865833,0.0010897203051216855
lamar_zero_shot_mean,platt,0.0015236746273011648,0.0011626217119604708
lamar_zero_shot_mean,platt,0.0021547929186611662,0.002034292356873002
lamar_zero_shot_mean,platt,0.004071069156808769,0.003269398430688753
lamar_linear_probe_center,platt,7.953247676080267e-06,0.0
lamar_linear_probe_center,platt,2.2775255588566134e-05,0.0
lamar_linear_probe_center,platt,4.046256088507768e-05,0.00014530659691950015
lamar_linear_probe_center,platt,6.286175608700756e-05,7.265857734505559e-05
lamar_linear_probe_center,platt,9.260050354426603e-05,0.0003632664922987504
lamar_linear_probe_center,platt,0.00013317378910772133,0.0
lamar_linear_probe_center,platt,0.00019140811452702318,7.265857734505559e-05
lamar_linear_probe_center,platt,0.000279682620691199,0.00021795989537925023
lamar_linear_probe_center,platt,0.0004244377278751164,0.0005812263876780006
lamar_linear_probe_center,platt,0.0007019805394897515,0.0005086100414153891
lamar_linear_probe_center,platt,0.0013989341176208793,0.0015257192676547515
lamar_linear_probe_center,platt,0.00942961450095246,0.008500435919790758
lamar_linear_probe_cls,isotonic,0.0,5.989099838294304e-05
lamar_linear_probe_cls,isotonic,8.453137579265546e-05,0.0004596010662744738
lamar_linear_probe_cls,isotonic,0.0001804590733066833,0.00018878610534264677
lamar_linear_probe_cls,isotonic,0.0003097213280739491,0.0010582010582010583
lamar_linear_probe_cls,isotonic,0.0003299128772563398,0.0001690045631232043
lamar_linear_probe_cls,isotonic,0.000409021259923023,0.0005974161750429393
lamar_linear_probe_cls,isotonic,0.0006498023476414472,0.00047008260022832584
lamar_linear_probe_cls,isotonic,0.0007109943452185129,0.00013757996835660728
lamar_linear_probe_cls,isotonic,0.0010468391686335556,0.0015520339813755923
lamar_linear_probe_cls,isotonic,0.0014248699233664567,0.0007185972980741593
lamar_linear_probe_cls,isotonic,0.002204403156178062,0.002982791586998088
lamar_linear_probe_cls,isotonic,0.004944222165985827,0.003959815208623598
lamar_linear_probe_masked_mean,isotonic,2.4837592439601167e-05,0.0002216434864520419
lamar_linear_probe_masked_mean,isotonic,0.00011447795175695588,0.0003522615189516697
lamar_linear_probe_masked_mean,isotonic,0.00014731518082935252,0.00010634903754121025
lamar_linear_probe_masked_mean,isotonic,0.00016754496317272137,0.0
lamar_linear_probe_masked_mean,isotonic,0.00024818082996566214,0.000876843363889996
lamar_linear_probe_masked_mean,isotonic,0.00042746137421550404,0.00032337343163885656
lamar_linear_probe_masked_mean,isotonic,0.0006833050224634577,0.00043293791670274485
lamar_linear_probe_masked_mean,isotonic,0.0008523360111515464,0.000948316737790422
lamar_linear_probe_masked_mean,isotonic,0.001231841356690884,0.0013447933111150091
lamar_linear_probe_masked_mean,isotonic,0.0013858873065535039,0.0015084473049074819
lamar_linear_probe_masked_mean,isotonic,0.0017290750446685144,0.0011362829344506783
lamar_linear_probe_masked_mean,isotonic,0.005413784466606026,0.0050580184468908065
lamar_linear_probe_mean,isotonic,2.4837454534604514e-05,0.0002216434864520419
lamar_linear_probe_mean,isotonic,0.00011447973561726797,0.0003522615189516697
lamar_linear_probe_mean,isotonic,0.00014731484634756195,0.00010633772862611655
lamar_linear_probe_mean,isotonic,0.00016754816875250047,0.0
lamar_linear_probe_mean,isotonic,0.00024818560914779427,0.0008770531015786956
lamar_linear_probe_mean,isotonic,0.00042746274493684353,0.0003234152652005175
lamar_linear_probe_mean,isotonic,0.0006832748194550508,0.0004329004329004329
lamar_linear_probe_mean,isotonic,0.0008523140689007158,0.000948316737790422
lamar_linear_probe_mean,isotonic,0.0012318411080307014,0.0013448719448017775
