model,method,pr_auc,average_precision,roc_auc,precision,recall,f1,mcc,brier,ece,threshold,tn,fp,fn,tp,fp_per_million
hash_random,none,0.0010394458079360503,0.001062709654675313,0.517801230486685,0.0011118362216904745,0.5575757575757576,0.0022192471445284705,0.003578809667382747,0.3343181670555064,0.49991876742071784,0.5,82346,82654,73,92,500933.3333333333
hash_random,platt,0.0006843473042750615,0.0007038750773928191,0.33011428833792467,0.0,0.0,0.0,0.0,0.0009982232857624156,2.4102273872554647e-05,0.5,165000,0,165,0,0.0
hash_random,isotonic,0.0007088248992873655,0.0007589550084610448,0.36319375573921026,0.0,0.0,0.0,0.0,0.0009982939608007622,1.1309028981323129e-05,0.5,165000,0,165,0,0.0
lamar_zero_shot_center,none,0.029911190317458716,0.0309413592211437,0.902587842056933,0.0024222850222042794,0.9454545454545454,0.004832189818328248,0.0360184304919819,0.235155036189413,0.4443013795968364,0.5,100754,64246,9,156,389369.69696969696
lamar_zero_shot_center,platt,0.02738440063156343,0.028353223839151814,0.8856539761248852,0.0,0.0,0.0,0.0,0.0009854689257227053,7.408375362996254e-05,0.5,165000,0,165,0,0.0
lamar_zero_shot_center,isotonic,0.019555530983814615,0.02008550542795442,0.8748557759412305,0.0,0.0,0.0,-7.781123419476706e-05,0.0009926334798774318,1.794117119558119e-05,0.5,164999,1,165,0,6.0606060606060606
lamar_zero_shot_cls,none,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0018818609513852587,0.7636363636363637,0.0037544696066746128,0.023074885053227183,0.2459554529208981,0.45072626127752524,0.5,98171,66829,39,126,405024.2424242424
lamar_zero_shot_cls,platt,0.0022586254354724894,0.0023295754111998562,0.702548852157943,0.0,0.0,0.0,0.0,0.0009974582831864319,7.388627325565834e-05,0.5,165000,0,165,0,0.0
lamar_zero_shot_cls,isotonic,0.0019662043825824263,0.0020076039700667185,0.6736951331496787,0.0,0.0,0.0,0.0,0.000997720477225578,1.1275411229895232e-05,0.5,165000,0,165,0,0.0
lamar_zero_shot_masked_mean,none,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0021578349173928084,0.793939393939394,0.004303972139172717,0.027965019068859648,0.23438274025032851,0.44227950216486356,0.5,104422,60578,34,131,367139.3939393939
lamar_zero_shot_masked_mean,platt,0.0027143857013934725,0.002795561124459559,0.7154584573002756,0.0,0.0,0.0,0.0,0.0009972932663054837,5.67552934520267e-05,0.5,165000,0,165,0,0.0
lamar_zero_shot_masked_mean,isotonic,0.0023986212417597837,0.0024819840834917296,0.7138777226813591,0.0,0.0,0.0,0.0,0.0009975656900905988,1.2115384274079396e-05,0.5,165000,0,165,0,0.0
lamar_zero_shot_mean,none,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0021578349173928084,0.793939393939394,0.004303972139172717,0.027965019068859648,0.23438273756302713,0.44227950385240317,0.5,104422,60578,34,131,367139.3939393939
lamar_zero_shot_mean,platt,0.002714375787862222,0.0027955522881643944,0.7154584940312213,0.0,0.0,0.0,0.0,0.0009972932662421373,5.675529606016805e-05,0.5,165000,0,165,0,0.0
lamar_zero_shot_mean,isotonic,0.0023986212417597837,0.0024819840834917296,0.7138777226813591,0.0,0.0,0.0,0.0,0.000997565690240424,1.2115546295424955e-05,0.5,165000,0,165,0,0.0
lamar_linear_probe_center,none,0.045301285814513856,0.048428066830534404,0.92535072543618,0.030359126249537207,0.49696969696969695,0.05722260990928123,0.11983279877211334,0.018336901400161188,0.07431471272086305,0.5,162381,2619,83,82,15872.727272727274
lamar_linear_probe_center,platt,0.04072287631827971,0.043730128086339894,0.9080312764003674,0.16666666666666666,0.006060606060606061,0.011695906432748537,0.031607950258627435,0.0009844721693619185,7.161922021742457e-05,0.5,164995,5,164,1,30.3030303030303
lamar_linear_probe_center,isotonic,0.03408500666801244,0.03495569622164078,0.890838145087236,0.0,0.0,0.0,-0.00015562388175372158,0.0009887559608721108,4.00447157612893e-05,0.5,164996,4,165,0,24.242424242424242
lamar_linear_probe_cls,none,0.005046201700341678,0.005264907893209485,0.7882969880624427,0.014084507042253521,0.06666666666666667,0.023255813953488372,0.02855093562113887,0.01668143439906013,0.09364697116812278,0.5,164230,770,154,11,4666.666666666667
lamar_linear_probe_cls,platt,0.004533329015343493,0.004745472783844003,0.7595170431588614,0.0,0.0,0.0,0.0,0.0009978027882169749,2.9725551808019536e-05,0.5,165000,0,165,0,0.0
lamar_linear_probe_cls,isotonic,0.0038525167690799987,0.003935552480829617,0.7491515335169879,0.0,0.0,0.0,0.0,0.0009966514586914157,8.850179719797338e-06,0.5,165000,0,165,0,0.0
lamar_linear_probe_masked_mean,none,0.006223772812423107,0.006585983446177563,0.7979569329660238,0.022821576763485476,0.06666666666666667,0.03400309119010819,0.03737138743902326,0.01538492156094565,0.09206307810053205,0.5,164529,471,154,11,2854.5454545454545
lamar_linear_probe_masked_mean,platt,0.00558274164738631,0.005950692714644111,0.7718922497704317,0.0,0.0,0.0,0.0,0.0009975160719617794,6.425190756395086e-05,0.5,165000,0,165,0,0.0
lamar_linear_probe_masked_mean,isotonic,0.005240560680138881,0.005358369965039848,0.7685510376492195,0.0,0.0,0.0,0.0,0.0009959824764622202,9.9424206359628e-06,0.5,165000,0,165,0,0.0
lamar_linear_probe_mean,none,0.00622379504528873,0.006586005933748743,0.7979567493112948,0.022821576763485476,0.06666666666666667,0.03400309119010819,0.03737138743902326,0.01538489579863209,0.09206302603529139,0.5,164529,471,154,11,2854.5454545454545
lamar_linear_probe_mean,platt,0.00558270621496653,0.005950656589145795,0.7718921395775942,0.0,0.0,0.0,0.0,0.0009975160505323421,6.425245942859474e-05,0.5,165000,0,165,0,0.0
lamar_linear_probe_mean,isotonic,0.005240600634660816,0.005358405313165764,0.76854927456382,0.0,0.0,0.0,0.0,0.00099598153772086,9.951055417592194e-06,0.5,165000,0,165,0,0.0
kmer_logistic,none,0.004188137344755334,0.004310829980227986,0.7862129476584022,0.0066518847006651885,0.05454545454545454,0.011857707509881422,0.01626223265977821,0.014463913298941346,0.07059377234038912,0.5,163656,1344,156,9,8145.454545454546
kmer_logistic,platt,0.0037452821333278778,0.003866607495774578,0.7452109274563821,0.0,0.0,0.0,0.0,0.0009975449809891217,7.35890150050338e-05,0.5,165000,0,165,0,0.0
kmer_logistic,isotonic,0.003537388728814916,0.0035677645925870057,0.7410663911845731,0.0,0.0,0.0,0.0,0.000996797104740602,1.1929850367588127e-05,0.5,165000,0,165,0,0.0
cnn,none,0.004423782519109536,0.00470601997595331,0.7768087786960514,0.007213114754098361,0.06666666666666667,0.01301775147928994,0.018989059839045568,0.012849471508736632,0.055092300937164794,0.5,163486,1514,154,11,9175.757575757574
cnn,platt,0.003969483868023279,0.004245662383047528,0.7445433425160697,0.0,0.0,0.0,0.0,0.000996719830538477,4.676107590842623e-05,0.5,165000,0,165,0,0.0
cnn,isotonic,0.0032503174045206973,0.0033902787451707485,0.7352094582185492,0.0,0.0,0.0,0.0,0.0009971812996612441,6.939001165099995e-06,0.5,165000,0,165,0,0.0
