model,trainable_parameters,representation,pooling,dev_AP,calibration_AP,test_AP,test_PR_AUC,test_precision,test_recall,test_F1,test_MCC,ROC_AUC,Brier,ECE,FP_per_million,threshold,calibration_method,test_tn,test_fp,test_fn,test_tp,display_name
lora_best,297217,center,center,0.8254375974333445,0.139264559979791,0.1719575606678831,0.1697541706957814,0.4761904761904761,0.124223602484472,0.1970443349753694,0.2428588782629245,0.9577829944832376,0.0009039337057735,0.0001702312286851,136.64596273291926,0.2429837074353644,platt,160978,22,141,20,LoRA Lamar
partial_lamar_2blocks,14179585,center,center,0.7759295749224606,0.0863531167086933,0.1032588725803976,0.1279335724029431,0.391304347826087,0.0559006211180124,0.0978260869565217,0.1476058301892307,0.9378426951120714,0.000937448539758,0.0001526253394288,86.95652173913044,0.2,isotonic,160986,14,152,9,Partial Lamar (2 blocks)
full_lamar,85854098,center,center,0.7990661424959914,0.0947714601373619,0.0962543061764084,0.1291266082826452,0.4,0.062111801242236,0.1075268817204301,0.1573192167684894,0.9369341267698008,0.0009378131447802,8.443838647905406e-05,93.16770186335404,0.3333333333333333,isotonic,160985,15,151,10,Full fine-tuning
lamar_linear_probe_center,769,center,center,0.6985833992748813,0.0484280668305344,0.0662624577971093,0.0636309966311038,0.3333333333333333,0.0248447204968944,0.0462427745664739,0.0907791479508425,0.92431190926276,0.0009643230073653,8.340035946270409e-05,49.68944099378882,0.2457042782926332,platt,160992,8,157,4,Lamar linear probe center
frozen_lamar_head,2305,center,center,0.6861361559059663,0.0560827693690195,0.0643902508179929,0.0619090150722408,0.2857142857142857,0.0496894409937888,0.0846560846560846,0.1188041548612795,0.9138712626827667,0.0009663935665758,0.0001344447403967,124.22360248447204,0.1472760547453277,platt,160980,20,153,8,Frozen Lamar head
lamar_zero_shot_center,0,center,center,0.5913019371380754,0.0309413592211437,0.0361802578106683,0.0344228130302049,0.0666666666666666,0.0062111801242236,0.0113636363636363,0.0200549470879648,0.8771154469349176,0.0009823223716584,9.58095214241865e-05,86.95652173913044,0.0833489007119365,platt,160986,14,160,1,Lamar zero-shot center
cnn,59969,onehot,onehot,0.3650521387790018,0.0047060199759533,0.0139118191783867,0.0115491429233949,0.1111111111111111,0.0124223602484472,0.0223463687150838,0.0368383095523504,0.7469873075884418,0.0009953578969532,2.095213622921679e-05,99.37888198757764,0.0250969728706579,platt,160984,16,159,2,CNN
kmer_logistic,344,1-4mer,1-4mer,0.3305119141606771,0.0043524633362467,0.0065980586525609,0.0359921979042022,0.0,0.0,0.0,0.0,0.774687936422206,0.0009949822241267,1.270440119968859e-05,0.0,0.0163934426229508,isotonic,161000,0,161,0,k-mer Logistic
lamar_linear_probe_cls,769,cls,cls,0.345897027904593,0.0052965090857215,0.0062377878628536,0.0159781908558453,0.0,0.0,0.0,0.0,0.7832171019636589,0.0009946734956371,1.2775925435160387e-05,0.0,0.0217391304347826,isotonic,161000,0,161,0,Lamar linear probe CLS
lamar_linear_probe_masked_mean,769,masked_mean,masked_mean,0.3655171787559735,0.0067190210671338,0.0053906860071064,0.0110197719497428,0.0,0.0,0.0,0.0,0.7806935496315729,0.0009954224753485,4.24466250241516e-06,0.0,0.0555555555555555,isotonic,161000,0,161,0,Lamar linear probe masked mean
lamar_linear_probe_mean,769,mean,mean,0.3655144675893748,0.0067191037063707,0.0053906815676769,0.0110197637696886,0.0,0.0,0.0,0.0,0.7806931445546083,0.0009954224809025,4.2363560747891386e-06,0.0,0.0555555555555555,isotonic,161000,0,161,0,Lamar linear probe mean
lamar_zero_shot_masked_mean,0,masked_mean,masked_mean,0.2209072549782136,0.0033162648923505,0.0043072180751118,0.0040819969437564,0.0,0.0,0.0,-0.0001761415292262,0.7572159446009026,0.00099664838646,7.055590714508662e-05,31.055900621118013,0.0113725232062968,platt,160995,5,161,0,Lamar zero-shot masked mean
lamar_zero_shot_mean,0,mean,mean,0.2209072549782136,0.003316272131404,0.0043072171829769,0.0040819386360976,0.0,0.0,0.0,-0.0001761415292262,0.7572158674433856,0.0009966483863882,7.055591221665023e-05,31.055900621118013,0.0113725250940675,platt,160995,5,161,0,Lamar zero-shot mean
lamar_zero_shot_cls,0,cls,cls,0.2095998149362425,0.0027104945591564,0.0033202104252565,0.0030710236813188,0.0,0.0,0.0,-0.000272883210273,0.7203043092473285,0.0009971741982662,7.451622220207852e-05,74.53416149068323,0.0064713223354146,platt,160988,12,161,0,Lamar zero-shot CLS
hash_random,0,none,none,0.0908019238475895,0.0009761678415001,0.0011429728472551,0.0011060294712487,0.0,0.0,0.0,-0.0002947493835092,0.5324041896531769,0.0009980023415006,1.0502061961489666e-05,86.95652173913044,0.0010271263231225,platt,160986,14,161,0,Random baseline
