component,feature,pearson,spearman
PC1,median_depth,0.07400956716136965,0.07759554694206222
PC1,gene_coverage,0.06649620818451393,-0.00035086766803115523
PC1,gc_fraction,-0.5118473857226442,-0.7234637946456364
PC1,c_count,-0.396365014068253,-0.5679540813505153
PC1,entropy,0.2860164477942627,0.36270092719531066
PC2,median_depth,0.022930100884701904,-0.0022086430007323427
PC2,gene_coverage,0.03522807201009862,0.0657065644810135
PC2,gc_fraction,0.4064739949732646,0.4360606547956741
PC2,c_count,0.2555558298514208,0.29641078081535743
PC2,entropy,-0.16934055442481893,-0.15264210109574577
PC3,median_depth,-0.09180767972058576,-0.0850577223248946
PC3,gene_coverage,-0.09942042834750685,-0.057493206632239405
PC3,gc_fraction,0.6371534103407526,0.6522184339895855
PC3,c_count,0.5522636262860897,0.5645083234320262
PC3,entropy,-0.21541125405498626,-0.19384949133588447
PC4,median_depth,-0.07275222037460667,-0.10656326215830624
PC4,gene_coverage,-0.08692164698648783,-0.08048392984757942
PC4,gc_fraction,-0.016625686958901414,-0.023511812562416325
PC4,c_count,0.15243808300798345,0.12924982241271335
PC4,entropy,-0.058386727951581174,-0.036602920291501494
PC5,median_depth,0.0008679728764325628,0.023494123545600293
PC5,gene_coverage,0.006313113809160262,0.06839730206382476
PC5,gc_fraction,0.07134882731982771,0.0614666526876544
PC5,c_count,-0.035214430211192214,-0.036867219677695004
PC5,entropy,-0.26765263567327074,-0.2784957450503965
PC6,median_depth,-0.0064308125838886294,0.018427552792166454
PC6,gene_coverage,-0.0221233079583671,0.013082868296366422
PC6,gc_fraction,0.009918954377480407,-0.023280581766166073
PC6,c_count,-0.14695143075347267,-0.1683658684204019
PC6,entropy,0.06777157125544218,0.03751985777834428
PC7,median_depth,-0.057562951274036996,-0.0561558603714029
PC7,gene_coverage,-0.06163009495514101,-0.09051080900763753
PC7,gc_fraction,-0.034156578138644256,0.039213408976866176
PC7,c_count,-0.1173663265551387,-0.08502910666806222
PC7,entropy,0.16441978649992928,0.07277945562388635
PC8,median_depth,-0.033337241680243455,-0.01801731317463642
PC8,gene_coverage,-0.02899071249545358,-0.030133506614161407
PC8,gc_fraction,-0.015977308342983915,-0.05408490680128226
PC8,c_count,0.13505945085377477,0.0962760111307878
PC8,entropy,-0.1731654012921584,-0.13048102416333054
PC9,median_depth,0.05121532516698868,0.0659374839153619
PC9,gene_coverage,0.05883057293191384,0.07842629181739971
PC9,gc_fraction,-0.08863666166524713,-0.08010719341990585
PC9,c_count,-0.055877776989911476,-0.06423552346124624
PC9,entropy,-0.08375645954284608,-0.08799637430941196
PC10,median_depth,0.007803789723452985,-0.009957642157869375
PC10,gene_coverage,0.0021732912976249875,-0.019676999444987322
PC10,gc_fraction,-0.09386692111568157,-0.08420767653146836
PC10,c_count,0.05752353599503376,0.03955615403003429
PC10,entropy,-0.21881512389596405,-0.1715562636025075
PC11,median_depth,0.06054067963857067,0.05554482095682675
PC11,gene_coverage,0.04954711575919876,0.051357743801261575
PC11,gc_fraction,-0.024193899278452547,-0.026112336721698527
PC11,c_count,0.027492493440870295,0.031246727095724514
PC11,entropy,0.09275951137358716,0.07306829379195905
PC12,median_depth,0.019835863524127192,0.10716843725790884
PC12,gene_coverage,0.017830525563783728,0.08913489044046581
PC12,gc_fraction,0.0546233566657059,0.04174591233224852
PC12,c_count,0.03200007762281692,0.017420531109531213
PC12,entropy,0.03954722419334361,0.045269081374389154
PC13,median_depth,0.004034034340182738,-0.023861804543008645
PC13,gene_coverage,0.026640135701628972,0.04237526862871801
PC13,gc_fraction,-0.003841682066617547,-0.010460786091507938
PC13,c_count,-0.15558523534613347,-0.16712140177677556
PC13,entropy,-0.1282667525466964,-0.12425320265115983
PC14,median_depth,-0.06914592112839348,-0.028432293950722467
PC14,gene_coverage,-0.07055315730673223,-0.014920364245377678
PC14,gc_fraction,0.05930237266689213,0.08807700054921602
PC14,c_count,-0.014113472620566472,-0.01501716787879404
PC14,entropy,-0.07971516050193667,-0.13319257214568495
PC15,median_depth,0.009553720862347377,-0.004260930063299193
PC15,gene_coverage,0.01607376200106163,0.016102538850824383
PC15,gc_fraction,-0.0010490969729926867,-0.021805169538052463
PC15,c_count,0.007636412951931818,-0.002148807573733756
PC15,entropy,-0.04969027411521024,0.04187087155040843
PC16,median_depth,0.005651058931088988,-0.0022096411342811015
PC16,gene_coverage,-0.008101253150946385,-0.03146124376302108
PC16,gc_fraction,-0.02381484623022526,-0.060463125391302414
PC16,c_count,-0.11315904183180621,-0.11132364516351595
PC16,entropy,0.20223628076011285,0.23927019603879154
PC17,median_depth,-0.042805882561934364,-0.05854446685097644
PC17,gene_coverage,-0.057382890174593,-0.04292318184578212
PC17,gc_fraction,0.053722673997985575,0.06629547798357845
PC17,c_count,-0.03814869169417754,-0.03106577272920131
PC17,entropy,0.026508869984195393,0.029815842386462177
PC18,median_depth,-0.016084978167060685,-0.027081474413688713
PC18,gene_coverage,-0.02059711669206721,0.017062213508543908
PC18,gc_fraction,0.022829458024858574,0.02875544765960835
PC18,c_count,-0.012522117686293202,-0.019683196266156267
PC18,entropy,-0.12535507168916818,-0.08610734104610374
PC19,median_depth,0.01043156351496058,-0.008123595868656717
PC19,gene_coverage,0.010750166155536854,0.02799808951205858
PC19,gc_fraction,-0.1025764900119886,-0.08775889666141315
PC19,c_count,-0.06335235809801162,-0.05768437010973839
PC19,entropy,-0.07940157342056431,-0.07742713758192023
PC20,median_depth,-0.03471055085979158,-0.03306640932542698
PC20,gene_coverage,-0.03287528253787744,-0.055459147363319646
PC20,gc_fraction,-0.02372416972918037,-0.035488406718163314
PC20,c_count,-0.16952910084358405,-0.17913107661909355
PC20,entropy,0.028754065353903287,0.030571012959585284
