model,kind,pr_auc,average_precision,roc_auc,precision,recall,f1,mcc,brier,ece,threshold,tn,fp,fn,tp,fp_per_million,target_fp_per_million,allowed_fp
hash_random,fp_workpoint,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,-7.781123419476706e-05,0.0009980034301517152,1.048639474904192e-05,0.0010328769766765568,164999,1,165,0,6.0606060606060606,10.0,1.0
hash_random,fp_workpoint,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,-0.00022008806935504635,0.0009980034301517152,1.048639474904192e-05,0.0010285335157266219,164992,8,165,0,48.484848484848484,50.0,8.0
hash_random,fp_workpoint,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,-0.00031125907119116276,0.0009980034301517152,1.048639474904192e-05,0.0010271263231225638,164984,16,165,0,96.96969696969697,100.0,16.0
hash_random,fp_workpoint,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,-0.0007047835354505412,0.0009980034301517152,1.048639474904192e-05,0.0010235148824112928,164918,82,165,0,496.969696969697,500.0,82.0
hash_random,fp_workpoint,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,-0.001,0.0009980034301517152,1.048639474904192e-05,0.001022237259730747,164835,165,165,0,1000.0,1000.0,165.0
hash_random,fixed_threshold,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,0.0,0.0009980034301517152,1.048639474904192e-05,0.01,165000,0,165,0,0.0,,
hash_random,fixed_threshold,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,0.0,0.0009980034301517152,1.048639474904192e-05,0.05,165000,0,165,0,0.0,,
hash_random,fixed_threshold,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,0.0,0.0009980034301517152,1.048639474904192e-05,0.1,165000,0,165,0,0.0,,
hash_random,fixed_threshold,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,0.0,0.0009980034301517152,1.048639474904192e-05,0.2,165000,0,165,0,0.0,,
hash_random,fixed_threshold,0.0009567013233406163,0.0009761678415001621,0.482198769513315,0.0,0.0,0.0,0.0,0.0009980034301517152,1.048639474904192e-05,0.5,165000,0,165,0,0.0,,
lamar_zero_shot_center,fp_workpoint,0.029911190317458716,0.0309413592211437,0.902587842056933,0.5,0.006060606060606061,0.011976047904191617,0.05496599689875182,0.0009841442627764054,7.48641463389422e-05,0.14919202787309213,164999,1,164,1,6.0606060606060606,10.0,1.0
lamar_zero_shot_center,fp_workpoint,0.029911190317458716,0.0309413592211437,0.902587842056933,0.1111111111111111,0.006060606060606061,0.011494252873563218,0.025730204591117904,0.0009841442627764054,7.48641463389422e-05,0.0955785469542368,164992,8,164,1,48.484848484848484,50.0,8.0
lamar_zero_shot_center,fp_workpoint,0.029911190317458716,0.0309413592211437,0.902587842056933,0.15789473684210525,0.01818181818181818,0.03260869565217391,0.05327064911182965,0.0009841442627764054,7.48641463389422e-05,0.08334890071193655,164984,16,162,3,96.96969696969697,100.0,16.0
lamar_zero_shot_center,fp_workpoint,0.029911190317458716,0.0309413592211437,0.902587842056933,0.08888888888888889,0.048484848484848485,0.06274509803921569,0.06496113282180133,0.0009841442627764054,7.48641463389422e-05,0.04949543561035116,164918,82,157,8,496.969696969697,500.0,82.0
lamar_zero_shot_center,fp_workpoint,0.029911190317458716,0.0309413592211437,0.902587842056933,0.06779661016949153,0.07272727272727272,0.07017543859649122,0.06925568833181311,0.0009841442627764054,7.48641463389422e-05,0.03999618561811101,164835,165,153,12,1000.0,1000.0,165.0
lamar_zero_shot_center,fixed_threshold,0.029911190317458716,0.0309413592211437,0.902587842056933,0.021176470588235293,0.38181818181818183,0.040127388535031845,0.0865032106531263,0.0009841442627764054,7.48641463389422e-05,0.01,162088,2912,102,63,17648.484848484848,,
lamar_zero_shot_center,fixed_threshold,0.029911190317458716,0.0309413592211437,0.902587842056933,0.09302325581395349,0.048484848484848485,0.06374501992031872,0.06648745321862423,0.0009841442627764054,7.48641463389422e-05,0.05,164922,78,157,8,472.72727272727275,,
lamar_zero_shot_center,fixed_threshold,0.029911190317458716,0.0309413592211437,0.902587842056933,0.125,0.006060606060606061,0.011560693641618497,0.02731843160869513,0.0009841442627764054,7.48641463389422e-05,0.1,164993,7,164,1,42.42424242424242,,
lamar_zero_shot_center,fixed_threshold,0.029911190317458716,0.0309413592211437,0.902587842056933,0.5,0.006060606060606061,0.011976047904191617,0.05496599689875182,0.0009841442627764054,7.48641463389422e-05,0.2,164999,1,164,1,6.0606060606060606,,
lamar_zero_shot_center,fixed_threshold,0.029911190317458716,0.0309413592211437,0.902587842056933,0.0,0.0,0.0,0.0,0.0009841442627764054,7.48641463389422e-05,0.5,165000,0,165,0,0.0,,
lamar_zero_shot_cls,fp_workpoint,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,-7.781123419476706e-05,0.000997184193305773,6.36467526980199e-05,0.007308550597499263,164999,1,165,0,6.0606060606060606,10.0,1.0
lamar_zero_shot_cls,fp_workpoint,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,-0.00022008806935504635,0.000997184193305773,6.36467526980199e-05,0.0066956576985552265,164992,8,165,0,48.484848484848484,50.0,8.0
lamar_zero_shot_cls,fp_workpoint,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,-0.00031125907119116276,0.000997184193305773,6.36467526980199e-05,0.006471322335414634,164984,16,165,0,96.96969696969697,100.0,16.0
lamar_zero_shot_cls,fp_workpoint,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,-0.0007047835354505412,0.000997184193305773,6.36467526980199e-05,0.005562096568788973,164918,82,165,0,496.969696969697,500.0,82.0
lamar_zero_shot_cls,fp_workpoint,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,-0.001,0.000997184193305773,6.36467526980199e-05,0.005266249565942562,164835,165,165,0,1000.0,1000.0,165.0
lamar_zero_shot_cls,fixed_threshold,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,0.0,0.000997184193305773,6.36467526980199e-05,0.01,165000,0,165,0,0.0,,
lamar_zero_shot_cls,fixed_threshold,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,0.0,0.000997184193305773,6.36467526980199e-05,0.05,165000,0,165,0,0.0,,
lamar_zero_shot_cls,fixed_threshold,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,0.0,0.000997184193305773,6.36467526980199e-05,0.1,165000,0,165,0,0.0,,
lamar_zero_shot_cls,fixed_threshold,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,0.0,0.000997184193305773,6.36467526980199e-05,0.2,165000,0,165,0,0.0,,
