Model,model_id,K,precision,recall,discovered
Random ranking,random,10,0.0,0.0,0
Random ranking,random,50,0.0,0.0,0
Random ranking,random,100,0.0,0.0,0
Random ranking,random,500,0.0,0.0,0
Random ranking,random,1000,0.0,0.0,0
k-mer ranking,kmer,10,0.0,0.0,0
k-mer ranking,kmer,50,0.0,0.0,0
k-mer ranking,kmer,100,0.0,0.0,0
k-mer ranking,kmer,500,0.006,0.018633540372670808,3
k-mer ranking,kmer,1000,0.012,0.07453416149068323,12
CNN ranking,cnn,10,0.1,0.006211180124223602,1
CNN ranking,cnn,50,0.02,0.006211180124223602,1
CNN ranking,cnn,100,0.01,0.006211180124223602,1
CNN ranking,cnn,500,0.012,0.037267080745341616,6
CNN ranking,cnn,1000,0.008,0.049689440993788817,8
Existing Binary Lamar,existing_binary_lamar,10,0.7,0.043478260869565216,7
Existing Binary Lamar,existing_binary_lamar,50,0.46,0.14285714285714285,23
Existing Binary Lamar,existing_binary_lamar,100,0.32,0.19875776397515527,32
Existing Binary Lamar,existing_binary_lamar,500,0.124,0.38509316770186336,62
Existing Binary Lamar,existing_binary_lamar,1000,0.085,0.5279503105590062,85
Frozen Lamar ranking,frozen_lamar,10,0.1,0.006211180124223602,1
Frozen Lamar ranking,frozen_lamar,50,0.26,0.08074534161490683,13
Frozen Lamar ranking,frozen_lamar,100,0.19,0.11801242236024845,19
Frozen Lamar ranking,frozen_lamar,500,0.072,0.2236024844720497,36
Frozen Lamar ranking,frozen_lamar,1000,0.046,0.2857142857142857,46
LoRA Lamar ranking,lora_lamar,10,0.5,0.031055900621118012,5
LoRA Lamar ranking,lora_lamar,50,0.28,0.08695652173913043,14
LoRA Lamar ranking,lora_lamar,100,0.2,0.12422360248447205,20
LoRA Lamar ranking,lora_lamar,500,0.1,0.3105590062111801,50
LoRA Lamar ranking,lora_lamar,1000,0.06,0.37267080745341613,60
Hybrid Binary + Ranking,hybrid_lamar,10,0.5,0.031055900621118012,5
Hybrid Binary + Ranking,hybrid_lamar,50,0.22,0.06832298136645963,11
Hybrid Binary + Ranking,hybrid_lamar,100,0.17,0.10559006211180125,17
Hybrid Binary + Ranking,hybrid_lamar,500,0.082,0.2546583850931677,41
Hybrid Binary + Ranking,hybrid_lamar,1000,0.055,0.3416149068322981,55
