model_id,feature,spearman_rho,p_value,enrichment_at_100,enrichment_at_500
random,gc_fraction,0.0006524955493034024,0.7933665913730157,0.0,0.0
random,c_count,-0.0011380083774711872,0.6477799391624305,0.0,0.0
random,entropy,-0.004462796106305202,0.07320052675126199,0.0,0.0
kmer,gc_fraction,-0.9503503186545299,0.0,0.0,6.006
kmer,c_count,-0.917914425420871,0.0,0.0,6.006
kmer,entropy,0.41807757695081765,0.0,0.0,6.006
cnn,gc_fraction,-0.8699644670262279,0.0,10.01,12.012
cnn,c_count,-0.6140706554177848,0.0,10.01,12.012
cnn,entropy,0.29219484614666175,0.0,10.01,12.012
existing_binary_lamar,gc_fraction,-0.20210278343094262,0.0,320.32,124.124
existing_binary_lamar,c_count,-0.10687682382524992,0.0,320.32,124.124
existing_binary_lamar,entropy,0.032668219862555435,2.596596942638384e-39,320.32,124.124
frozen_lamar,gc_fraction,-0.3122376125438135,0.0,190.19,72.07199999999999
frozen_lamar,c_count,-0.2639202301900828,0.0,190.19,72.07199999999999
frozen_lamar,entropy,0.1343158194225324,0.0,190.19,72.07199999999999
lora_lamar,gc_fraction,-0.10994406931430498,0.0,200.20000000000002,100.10000000000001
lora_lamar,c_count,-0.06713521295128833,2.4319008023788367e-160,200.20000000000002,100.10000000000001
lora_lamar,entropy,0.023582508536833836,2.8413864665348853e-21,200.20000000000002,100.10000000000001
hybrid_lamar,gc_fraction,-0.02414884781575441,3.1397992995583226e-22,170.17000000000002,82.08200000000001
hybrid_lamar,c_count,-0.013055510385180186,1.5944974062428022e-07,170.17000000000002,82.08200000000001
hybrid_lamar,entropy,-0.09943764506191811,0.0,170.17000000000002,82.08200000000001
composition_only,gc_fraction,-0.9908683760466797,0.0,0.0,6.006
composition_only,c_count,-0.8303022559942078,0.0,0.0,6.006
composition_only,entropy,0.4197665786669413,0.0,0.0,6.006
