layer	module	module_path	a_key	b_key	a_rows	a_cols	b_rows	b_cols	rank_configured	alpha	scale_alpha_over_r	sigma_1	sigma_2	sigma_3	sigma_4	sigma_2_over_sigma_1	sigma_3_over_sigma_1	sigma_4_over_sigma_1	condition_number_sigma1_over_sigma4	numerical_rank_fp32	numerical_rank_fp64	numerical_rank_tolerance_fp32	numerical_rank_tolerance_fp64	entropy_effective_rank	entropy_effective_rank_fraction_of_4	stable_rank	stable_rank_fraction_of_4	frobenius_norm_delta_w	spectral_norm_delta_w	nuclear_norm_delta_w
0	K	attention.self.key	esm.encoder.layer.0.attention.self.key.lora_A.weight	esm.encoder.layer.0.attention.self.key.lora_B.weight	4	768	768	4	4	8	2	0.284615767717	0.200505978347	0.0940954753238	0.0769912424816	0.704479516208	0.330605279105	0.270509406767	3.69672911546	4	4	2.60573517808e-05	4.85355998962e-14	3.50602538437	0.876506346092	1.67876657848	0.419691644619	0.36876875204	0.284615767717	0.656208463869
0	O	attention.output.dense	esm.encoder.layer.0.attention.output.dense.lora_A.weight	esm.encoder.layer.0.attention.output.dense.lora_B.weight	4	768	768	4	4	8	2	0.304858030965	0.165143152557	0.0941537302734	0.0546481270904	0.541705107897	0.308844513544	0.179257626632	5.5785632042	4	4	2.7910586331e-05	5.19875182417e-14	3.32715195637	0.831787989091	1.42096265417	0.355240663543	0.363403388261	0.304858030965	0.618803040886
0	Q	attention.self.query	esm.encoder.layer.0.attention.self.query.lora_A.weight	esm.encoder.layer.0.attention.self.query.lora_B.weight	4	768	768	4	4	8	2	0.366501204949	0.162381215965	0.0488154273979	0.0267523440207	0.443057795643	0.133193088423	0.0729938773991	13.6997791545	4	4	3.35541874648e-05	6.24995445178e-14	2.71192500659	0.677981251649	1.21936871522	0.304842178805	0.404709063885	0.366501204949	0.604450192333
0	V	attention.self.value	esm.encoder.layer.0.attention.self.value.lora_A.weight	esm.encoder.layer.0.attention.self.value.lora_B.weight	4	768	768	4	4	8	2	0.380389700622	0.107564305817	0.0222916971068	0.0135310473106	0.282773970066	0.0586022625489	0.0355715396302	28.1123620286	4	4	3.48257172201e-05	6.48679532484e-14	2.19502112038	0.548755280096	1.08466067775	0.271165169439	0.396164628944	0.380389700622	0.523776750857
1	K	attention.self.key	esm.encoder.layer.1.attention.self.key.lora_A.weight	esm.encoder.layer.1.attention.self.key.lora_B.weight	4	768	768	4	4	8	2	0.3770888094	0.133802960783	0.0937773927734	0.0728569040648	0.354831428161	0.248687816864	0.193208873477	5.17574572019	4	4	3.45235116028e-05	6.43050514213e-14	3.18986226809	0.797465567021	1.22508064146	0.306270160364	0.417374568409	0.3770888094	0.677526067021
1	O	attention.output.dense	esm.encoder.layer.1.attention.output.dense.lora_A.weight	esm.encoder.layer.1.attention.output.dense.lora_B.weight	4	768	768	4	4	8	2	0.565993419131	0.0668079817552	0.0373016639116	0.0217522207132	0.118036675864	0.0659047661171	0.0384319322062	26.0200292464	4	4	5.18182451597e-05	9.65190029883e-14	1.92747897042	0.481869742604	1.01975310846	0.254938277115	0.571556147865	0.565993419131	0.691855285511
1	Q	attention.self.query	esm.encoder.layer.1.attention.self.query.lora_A.weight	esm.encoder.layer.1.attention.self.query.lora_B.weight	4	768	768	4	4	8	2	0.382359435936	0.14418327829	0.028066936394	0.0222242133491	0.377088322501	0.0734045867741	0.0581238783729	17.2046330698	4	4	3.5006051874e-05	6.52038527169e-14	2.4391971188	0.6097992797	1.15096222156	0.287740555391	0.410206319509	0.382359435936	0.576833863969
1	V	attention.self.value	esm.encoder.layer.1.attention.self.value.lora_A.weight	esm.encoder.layer.1.attention.self.value.lora_B.weight	4	768	768	4	4	8	2	0.5488566716	0.0539577451801	0.0279986766427	0.0157105429392	0.0983093546496	0.0510127289899	0.0286241267569	34.9355635717	4	4	5.0249329065e-05	9.3596669035e-14	1.77283829015	0.443209572539	1.01308636836	0.253271592091	0.552436268974	0.5488566716	0.646523636362
2	K	attention.self.key	esm.encoder.layer.2.attention.self.key.lora_A.weight	esm.encoder.layer.2.attention.self.key.lora_B.weight	4	768	768	4	4	8	2	0.544609619316	0.267988898646	0.0575281368367	0.0431695601361	0.492075220747	0.105631877948	0.0792669806133	12.615593432	4	4	4.98604998153e-05	9.28724181192e-14	2.6817727103	0.670443177575	1.25957937073	0.314894842682	0.611220733204	0.544609619316	0.913296214934
2	O	attention.output.dense	esm.encoder.layer.2.attention.output.dense.lora_A.weight	esm.encoder.layer.2.attention.output.dense.lora_B.weight	4	768	768	4	4	8	2	0.60901785603	0.0496837389379	0.0383584001184	0.0309785932431	0.0815801022022	0.0629840319764	0.0508664777827	19.6593128439	4	4	5.57572500028e-05	1.03855971252e-13	1.86255483904	0.465638709761	1.01320969992	0.25330242498	0.613027130703	0.60901785603	0.72803858833
