pool	path	rows	sha256	definition
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr1.tsv.gz	206551	e2c68e359fffa473a38e98eae4c1f50df9da1f79edce199ddd1312c0ddc6853c	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr1.matched.tsv.gz	1530	1c6fc8782b8347c3d6677e6bf3cfc2fe23799dab941e5326e9cf43684d426108	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr1.hard.tsv.gz	94428	0cc5ba6b74c1b30a1a970899679407540c2f6ccbdd69b8315c27d345bdbbecc7	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr10.tsv.gz	85294	dd06b98f6fcf0e7302e2b99440b6aaa4d09b7b895a79008938a05bd75bfeac95	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr10.matched.tsv.gz	563	c7276c1e3d090817d2fc097cb018a4e64bafe25e40468ac75c0abc32395a4eb8	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr10.hard.tsv.gz	40192	1b69bf477774959aaeea59898188f2ba31fe028e364a89b91311dfc29a79defa	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr11.tsv.gz	118906	70d9539b339f2bdeb9ad016360fc9a03ec16aaa113ee54e7a09f27ef01d3eaea	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr11.matched.tsv.gz	862	c0ca7edb90465cdbe22563aaa93d99e3c4d48bf598c826376685cbdda8e685a5	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr11.hard.tsv.gz	53932	22f5417e192cae5950c2721a1549c9309a394bb592b2f4e97ecca4389836e76e	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr12.tsv.gz	112669	2bc390468a3f59dfe64bd355a97da8c9f030d9a5d0047fa82c9b14bbc5f937e4	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr12.matched.tsv.gz	857	7637877effa5cc5a5a076a8fbda76d017cdb63d5802c68c9efd34566c50ee982	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr12.hard.tsv.gz	52393	415d0bf0569232ef51d88c1522d7fdc9b4afff86546cb3f2a91536b9dca4608b	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr13.tsv.gz	33735	099352accbc5064ab3687b55ba59ad598a3e11c9e5001be72f3d816f697f386e	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr13.matched.tsv.gz	183	73a0ba5e1542aefe79b4018dd1c4a370410cfa0a38bd7b9821f25c0f31a65192	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr13.hard.tsv.gz	16677	b06f46fd151cbea76c93b6bacbb4289c5e621c9b7a53a9bf16ad749bfae538f4	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr14.tsv.gz	65274	06db8ab68c89f35e3f45b4fe31b895c8aadf4d3606dec32875f0da28007e32a6	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr14.matched.tsv.gz	442	bf9c4861654df9df52df4ac6dcca7799947342078c37a37881dabdee3af73482	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr14.hard.tsv.gz	30934	ee3b93de3ae4848954c1e32ed0c6a169d45232688a7bd0beb4ff465e9ac4af71	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr15.tsv.gz	54695	c967ebbbead599ba575f2f6831761b35096bdb03625e5f90f69b8555ac434cae	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr15.matched.tsv.gz	376	60d23dd68afc71ba75769ffe466541b1481bb7ec8f5af57a49e85ccac23ceb3f	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr15.hard.tsv.gz	25598	d69aaa1d8e928573c6337f4ce12a4d39b302d620300a652ef751f417dffa70c4	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr16.tsv.gz	102504	031ca25d33c19d4dde455e31733b82a6a914f017fb27810103bdd7fa182f833f	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr16.matched.tsv.gz	706	16e753a0e0aa450fc31e9771e584cf4420361cc2048cb58745f6bf99d04cbd9b	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr16.hard.tsv.gz	45495	04339b9d9318e53e2b96330543026a31c82b204baeec3783aecc1f84355b6f56	train strict negatives sharing center 5-mer with train positives; test never mined
